,
Time,Values
01/12/13,"39,648"
01/01/14,"29,535"
01/02/14,"29,255"
01/03/14,"31,486"
01/04/14,"32,947"
01/05/14,"32,272"
01/06/14,"33,726"
01/07/14,"32,515"
01/08/14,"30,763"
01/09/14,"31,929"
01/10/14,"32,439"
01/11/14,"32,546"
01/12/14,"42,136"
01/01/15,"30,929"
01/02/15,"31,325"
01/03/15,"32,642"
01/04/15,"34,377"
01/05/15,"34,380"
01/06/15,"35,395"
01/07/15,"33,901"
01/08/15,"32,176"
01/09/15,"32,911"
01/10/15,"33,357"
01/11/15,"33,347"
01/12/15,"43,408"
01/01/16,"32,660"
01/02/16,"33,873"
01/03/16,"35,501"
01/04/16,"36,497"
01/05/16,"37,270"
01/06/16,"38,447"
01/07/16,"35,888"
01/08/16,"35,405"
01/09/16,"35,843"
01/10/16,"35,749"
01/11/16,"36,195"
01/12/16,"47,554"
01/01/17,"34,422"
01/02/17,"35,497"
01/03/17,"37,899"
01/04/17,"39,225"
01/05/17,"39,679"
01/06/17,"41,454"
01/07/17,"38,073"
01/08/17,"37,099"
01/09/17,"38,047"
01/10/17,"38,333"
01/11/17,"38,848"
01/12/17,"51,197"
01/01/18,"39,017"
01/02/18,"40,443"
01/03/18,"42,364"
01/04/18,"43,381"
01/05/18,"44,076"
01/06/18,"45,848"
01/07/18,"42,413"
01/08/18,"41,364"
01/09/18,"41,774"
01/10/18,"42,332"
01/11/18,"42,595"
01/12/18,"55,569"
01/01/19,"42,263"
01/02/19,"43,062"
01/03/19,"46,324"
01/04/19,"48,030"
01/05/19,"47,926"
01/06/19,"49,348"
01/07/19,"46,509"
01/08/19,"44,961"
01/09/19,"45,541"
01/10/19,"46,549"
01/11/19,"46,285"
01/12/19,"62,239"
01/01/20,"46,674"
01/02/20,"47,257"
01/03/20,"50,948"
01/04/20,"49,306"
01/05/20,"50,747"
01/06/20,"52,123"
01/07/20,"50,145"
01/08/20,"47,649"
01/09/20,"49,259"
01/10/20,"49,539"
01/11/20,"49,274"
01/12/20,"69,278"
